pageId	code	country
7	4	Afganistán
	248	Åland
8	8	Albania
9	276	Alemania
10	20	Andorra
1	24	Angola
11	660	Anguila
	10	Antártida
12	28	Antigua y Barbuda
4	682	Arabia Saudita
3	12	Argelia
5	32	Argentina
14	51	Armenia
	533	Aruba
6	36	Australia
15	40	Austria
16	31	Azerbaiyán
2	44	Bahamas
18	50	Bangladés
19	52	Barbados
17	48	Baréin
20	56	Bélgica
21	84	Belice
22	204	Benín
23	60	Bermudas
24	112	Bielorrusia
25	68	Bolivia
288	535	Bonaire, San Eustaquio y Saba
26	70	Bosnia y Herzegovina
27	72	Botsuana
28	76	Brasil
29	96	Brunéi
30	100	Bulgaria
31	854	Burkina Faso
32	108	Burundi
33	64	Bután
34	132	Cabo Verde
35	116	Camboya
36	120	Camerún
37	124	Canadá
168	634	Catar
38	148	Chad
39	152	Chile
40	156	China
41	196	Chipre
42	170	Colombia
43	174	Comoras
46	408	Corea del Norte
47	410	Corea del Sur
48	384	Costa de Marfil
49	188	Costa Rica
50	191	Croacia
51	192	Cuba
	531	Curazao
52	208	Dinamarca
54	212	Dominica
55	218	Ecuador
56	818	Egipto
57	222	El Salvador
59	232	Eritrea
60	703	Eslovaquia
61	705	Eslovenia
62	724	España
63	840	Estados Unidos
64	233	Estonia
65	231	Etiopía
67	608	Filipinas
68	246	Finlandia
66	242	Fiyi
69	250	Francia
70	266	Gabón
71	270	Gambia
72	268	Georgia
73	288	Ghana
	292	Gibraltar
	308	Granada
75	300	Grecia
76	304	Groenlandia
77	312	Guadalupe
78	316	Guam
79	320	Guatemala
80	254	Guayana Francesa
	831	Guernsey
84	324	Guinea
82	226	Guinea Ecuatorial
83	624	Guinea-Bisáu
81	328	Guyana
85	332	Haití
87	340	Honduras
88	344	Hong Kong
89	348	Hungría
90	356	India
91	360	Indonesia
92	368	Irak
93	364	Irán
94	372	Irlanda
	74	Isla Bouvet
	833	Isla de Man
263	162	Isla de Navidad
96	352	Islandia
97	136	Islas Caimán
	166	Islas Cocos
99	184	Islas Cook
100	234	Islas Feroe
239	239	Islas Georgias del Sur y Sandwich del Sur
	334	Islas Heard y McDonald
101	238	Islas Malvinas
102	580	Islas Marianas del Norte
103	584	Islas Marshall
222	612	Islas Pitcairn
105	90	Islas Salomón
	796	Islas Turcas y Caicos
	581	Islas ultramarinas de Estados Unidos
107	92	Islas Vírgenes Británicas
106	850	Islas Vírgenes de los Estados Unidos
108	376	Israel
109	380	Italia
110	388	Jamaica
111	392	Japón
	832	Jersey
112	400	Jordania
113	398	Kazajistán
114	404	Kenia
115	417	Kirguistán
116	296	Kiribati
117	414	Kuwait
118	418	Laos
119	426	Lesoto
120	428	Letonia
121	422	Líbano
122	430	Liberia
123	434	Libia
124	438	Liechtenstein
125	440	Lituania
126	442	Luxemburgo
127	446	Macao
128	807	Macedonia
129	450	Madagascar
130	458	Malasia
131	454	Malaui
132	462	Maldivas
133	466	Malí
134	470	Malta
135	504	Marruecos
136	474	Martinica
137	480	Mauricio
138	478	Mauritania
139	175	Mayotte
140	484	México
141	583	Micronesia
142	498	Moldavia
143	492	Mónaco
144	496	Mongolia
284	499	Montenegro
145	500	Montserrat
146	508	Mozambique
147	104	Myanmar
148	516	Namibia
149	520	Nauru
150	524	Nepal
151	558	Nicaragua
152	562	Níger
153	566	Nigeria
154	570	Niue
	574	Norfolk
155	578	Noruega
156	540	Nueva Caledonia
157	554	Nueva Zelanda
158	512	Omán
	528	Países Bajos
159	586	Pakistán
	585	Palaos
	275	Palestina
160	591	Panamá
161	598	Papúa Nueva Guinea
162	600	Paraguay
163	604	Perú
164	258	Polinesia Francesa
165	616	Polonia
166	620	Portugal
167	630	Puerto Rico
169	826	Reino Unido
	732	República Árabe Saharaui Democrática
170	140	República Centroafricana
171	203	República Checa
44	178	República del Congo
45	180	República Democrática del Congo
172	214	República Dominicana
173	638	Reunión
174	646	Ruanda
175	642	Rumania
176	643	Rusia
177	882	Samoa
178	16	Samoa Americana
289	652	San Bartolomé
179	659	San Cristóbal y Nieves
180	674	San Marino
286	663	San Martín
181	666	San Pedro y Miquelón
182	670	San Vicente y las Granadinas
183	654	Santa Elena, Ascensión y Tristán de Acuña
184	662	Santa Lucía
185	678	Santo Tomé y Príncipe
186	686	Senegal
219	688	Serbia
187	690	Seychelles
188	694	Sierra Leona
189	702	Singapur
	534	Sint Maarten
190	760	Siria
191	706	Somalia
192	144	Sri Lanka
198	748	Suazilandia
193	710	Sudáfrica
194	729	Sudán
285	728	Sudán del Sur
195	752	Suecia
196	740	Surinam
197	744	Svalbard y Jan Mayen
201	764	Tailandia
	158	Taiwán (República de China)
200	834	Tanzania
199	762	Tayikistán
	86	Territorio Británico del Océano Índico
	260	Tierras Australes y Antárticas Francesas
202	626	Timor Oriental
203	768	Togo
204	772	Tokelau
205	776	Tonga
206	780	Trinidad y Tobago
207	788	Túnez
208	795	Turkmenistán
209	792	Turquía
210	798	Tuvalu
211	804	Ucrania
212	800	Uganda
213	858	Uruguay
214	860	Uzbekistán
215	548	Vanuatu
	336	Vaticano, Ciudad del
216	862	Venezuela
217	704	Vietnam
287	876	Wallis y Futuna
218	887	Yemen
53	262	Yibuti
220	894	Zambia
221	716	Zimbabue
